xd321	0.03
xd322	0.04
xd323	0.03
xd324	0.03
xd325	0.03
xd326	0.03
xd327	0.03
xd328	0.03
xd329	0.02
xd330	0
xd331	0.03
xd332	0.02
xd333	0.03
xd334	0.01
xd335	0.04
xd336	0.03
xd337	0.03
xd338	0.01
xd339	0.05
xd340	0
xd341	0.03
xd342	0.03
xd343	0.05
xd344	0.04
xd345	0.02
xd346	0.07
xd347	0.04
xd348	0.01
xd349	0.04
xd350	0.07
xd351	0.06
xd352	0.03
xd353	0.05
xd354	0
xd355	0.03
xd356	0.06
xd357	0.04
xd358	0.03
xd359	0.03
xd360	0.03
xd361	0.03
xd362	0.03
xd363	0.01
xd364	0.07
xd365	0.08
xd366	0.03
xd367	0.01
xd368	0.02
xd369	0.01
xd370	0.03
xd371	0.01
xd372	0.02
xd373	0.01
xd374	0.02
xd375	0.03
xd376	0.02
xd377	0.02
xd378	0.011
xd379	0.03
xd380	0.05
xd381	0.04
xd382	0.02
xd383	0.04
xd384	0
xd385	0.03
xd386	0.05
xd387	0.03
xd388	0.02
xd389	0.019
xd390	0.05
xd391	0.02
xd392	0.06
xd393	0
xd394	0.03
xd395	0.05
xd396	0.01
xd397	0.02
xd398	0.02
xd399	0
xd400	0.02
xd401	0.03
xd402	0.04
xd403	0.03
xd404	0.01
xd405	0
xd406	0.02
xd407	0
xd408	0.03
xd409	0.03
xd410	0.03
xd411	0.01
xd412	0.04
xd413	0.03
xd414	0.03
xd415	0.02
xd416	0.07
xd417	0.06
xd418	0.07
xd419	0
xd420	0
xd421	0.02
xd422	0.02
xd423	0
xd424	0.01
xd425	0
xd426	0
xd427	0.06
xd428	0
xd429	0
xd430	0
xd431	0
xd432	0
xd433	0
xd434	0.02
xd435	0
xd436	0.03
xd437	0
xd438	0.06
xd439	0.09
xd440	0.09
xd441	0.09
xd442	0.03
xd443	0.02
xd444	0.09
xd445	0.1
xd446	0.09
xd447	0.02
xd448	0
xd449	0
xd450	0
xd451	0
xd452	0.02
xd453	0.02
xd454	0.07
xd455	0
xd456	0.01
xd457	0.06
xd458	0.01
xd459	0.03
xd460	0.05
xd461	0.03
xd462	0.02
xd463	0.04
xd464	0.01
xd465	0.03
xd466	0.07
xd467	0.02
xd468	0.08
xd469	0
xd470	0.03
xd471	0.02
xd472	0.03
xd473	0.02
xd474	0
xd475	0.02
xd476	0
xd477	0.03
xd478	0.03
xd479	0.03
xd480	0.01
xd481	0.03
xd482	0.04
xd483	0.03
xd484	0.03
xd485	0.03
xd486	0.01
xd487	0
xd488	0.05
xd489	0.09
xd490	0.006
xd491	0.03
xd492	0.07
xd493	0.03
xd494	0.02
xd495	0.02
xd496	0.04
xd497	0
xd498	0
xd499	0.04
xd500	0.03
xd501	0.03
xd502	0.04
xd503	0.04
xd504	0
xd505	0.06
xd506	0.03
xd507	0.03
xd508	0.05
xd509	0.45
xd510	0.08
xd511	0.02
xd512	0.08
xd513	0.04
xd514	0.02
xd515	0.03
xd516	0.03
xd517	0.03
xd518	0
xd519	0.01
xd520	0.02
xd521	0.03
xd522	0.06
xd523	0.03
xd524	3.35
xd525	0.04
xd526	0.04
xd527	0.05
xd528	0.05
xd529	0
xd530	1.85
xd531	0.02
xd532	-0.01
xd533	0
xd534	0
xd535	0.016
xd536	0.03
xd537	0.1
xd538	0.02
xd539	0.01
xd540	0.02
xd541	0
xd542	0.85
xd543	0.02
xd544	0
xd545	0
xd546	0
xd547	0.04
xd548	-0.005
xd549	0.051
xd550	0.056
xd551	0.042
xd552	0.055
xd553	0.042
xd554	0.056
xd555	0.023
xd556	0.076
xd557	0.06
xd558	0.04
xd559	0.069
xd560	0.055
xd561	0.045
xd562	0.103
xd563	0.05
xd564	0.06
xd565	0.05
xd566	0.05
xd567	0.01
xd568	0.05
xd569	0.01
xd570	0.04
xd571	0.02
xd572	0.01
xd573	0.02
xd574	0.03
xd575	0.05
xd576	0.01
xd577	0.07
xd578	0.02
xd579	0.05
xd580	0.03
xd581	0
